0x803d64,Name,Description,ID,Support Class,Portrait,Map Portrait,Affinity,Unit Sort Order,Lv,HP,Atk,Skl,Spd,Def,Res,Luck,Con,Sword,Lance,Axe,Bow,Staff,Anima,Light,Dark,HP Growth,Atk Growth,Skl Growth,Spd Growth,Def Growth,Res Growth,Luck Growth,N/A,N/A2,N/A3,N/A4,N/A5,CharClassAbility,Support Data Ptr,N/A (Conversation Group),N/A6,N/A7,N/A8
Klaudia,KlaudiaName,KlaudiaDesc,Klaudia,MageLord,KlaudiaMug,0x0,WindAffinity,0x1,1,0,0,0,0,0,0,0,0,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,49,28,49,49,42,28,42,0x0,0x0,0x0,0x0,0x0,0x0,KlaudiaSupportTable|IsPointer,0x7,0x0,0x0,0x0
Omen,OmenName,OmenDesc,Omen,RunelordF,OmenMug,0x0,AnimaAffinity,0x3,1,0,0,0,0,0,0,0,0,BRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,90,50,45,45,40,30,25,0x0,0x0,0x0,0x0,0x0,0x0,0x88aebdc,0x3,0x0,0x0,0x0
Josephine,JosephineName,JosephineDesc,Josephine,MageArmor,JosephineMug,0x0,ThunderAffinity,0x7,4,0,0,0,0,0,0,0,0,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,90,45,35,30,55,20,30,0x0,0x0,0x0,0x0,0x0,0x0,JosephineSupportTable|IsPointer,0x4,0x0,0x0,0x0
Cam,CamName,CamDesc,Cam,PirateF,CamMug,0x0,LightAffinity,0x6,1,0,0,0,0,0,0,0,0,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,80,40,40,50,25,20,40,0x0,0x0,0x0,0x0,0x0,0x0,0x88aebf4,0x3,0x0,0x0,0x0
Giselle,GiselleName,GiselleDesc,Giselle,ThiefF,GiselleMug,0x0,AnimaAffinity,0x8,3,0,0,0,0,0,0,0,0,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,70,40,50,40,25,25,20,0x0,0x0,0x0,0x0,0x0,0x0,0x88aec24,0x4,0x0,0x0,0x0
Levia,LeviaName,LeviaDesc,Levia,Princess,LeviaMug,0x0,FireAffinity,0x9,1,0,0,0,0,0,0,0,0,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,50,35,55,60,20,30,50,0x0,0x0,0x0,0x0,0x0,0x0,0x88aec3c,0xa,0x0,0x0,0x0
Stuart,StuartName,StuartDesc,Stuart,SwordArmor,0x9,0x0,FireAffinity,0xa,1,0,0,0,0,0,0,0,0,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,70,50,35,30,25,20,40,0x0,0x0,0x0,0x0,0x0,0x0,0x88aec6c,0x5,0x0,0x0,0x0
Bear,BearName,BearDesc,Bear,WoodsmanM,0xa,0x0,FireAffinity,0xb,1,0,0,0,0,0,0,0,0,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,55,45,50,60,15,35,50,0x0,0x0,0x0,0x0,0x0,0x0,0x88aec9c,0x7,0x0,0x0,0x0
Estella,EstellaName,EstellaDesc,Estella,LanceArmor,0xc,0x0,LightAffinity,0xc,2,0,0,0,0,0,0,0,0,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,75,40,40,65,25,20,45,0x0,0x0,0x0,0x0,0x0,0x0,0x88aec84,0x0,0x0,0x0,0x0
Carina,CarinaName,CarinaDesc,Carina,Cleric,CarinaMug,0x0,FireAffinity,0xd,4,0,0,0,0,0,0,0,0,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,80,65,40,20,25,15,40,0x0,0x0,0x0,0x0,0x0,0x0,CarinaSupportTable|IsPointer,0x1,0x0,0x0,0x0
Alma,AlmaName,AlmaDesc,Alma,DarkMage,AlmaMug,0x0,IceAffinity,0x14,1,0,0,0,0,0,0,0,0,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,75,40,40,45,20,25,45,0x0,0x0,0x0,0x0,0x0,0x0,AlmaSupportTable|IsPointer,0x0,0x0,0x0,0x0
Roswell,RoswellName,RoswellDesc,Roswell,AxeCavF,0x10,0x0,AnimaAffinity,0xf,1,0,0,0,0,0,0,0,0,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,45,65,30,45,15,40,45,0x0,0x0,0x0,0x0,0x0,0x0,0x88aeccc,0x7,0x0,0x0,0x0
Hong Chen,HongChenName,HongChenDesc,HongChen,MyrmidonM,0x11,0x0,IceAffinity,0x10,1,0,0,0,0,0,0,0,0,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,50,60,25,40,15,55,60,0x0,0x0,0x0,0x0,0x0,0x0,0x88aece4,0xa,0x0,0x0,0x0
Maris,MarisName,MarisDesc,Maris,LightMage,0x13,0x0,FireAffinity,0x1f,9,0,0,0,0,0,0,0,0,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,85,55,40,45,25,15,35,0x0,0x0,0x0,0x0,0x0,0x0,0x88aee1c,0x0,0x0,0x0,0x0
Phillipa,PhillipaName,PhillipaDesc,Phillipa,SwordCavF,0x14,0x0,FireAffinity,0x1,4,0,0,0,0,0,0,0,0,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,80,55,55,45,35,25,50,0x0,0x0,0x0,0x0,0x0,0x0,0x88aebc4,0x3,0x0,0x0,0x0
Maeve,MaeveName,MaeveDesc,Maeve,ScoutF,0x16,0x0,WindAffinity,0x5,5,0,0,0,0,0,0,0,0,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,85,40,50,45,20,25,35,0x0,0x0,0x0,0x0,0x0,0x0,0x88aed2c,0x3,0x0,0x0,0x0
Evren,EvrenName,EvrenDesc,Evren,CrownPrince,0x18,0x0,IceAffinity,0x4,6,0,0,0,0,0,0,0,0,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,90,50,40,40,25,20,20,0x0,0x0,0x0,0x0,0x0,0x0,0x88aed14,0x3,0x0,0x0,0x0
Dane,DaneName,DaneDesc,Dane,ArcherM,0x19,0x0,ThunderAffinity,0x13,1,0,0,0,0,0,0,0,0,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,60,35,40,40,30,15,50,0x0,0x0,0x0,0x0,0x0,0x0,0x88aee34,0x7,0x0,0x0,0x0
Ulrich,UlrichName,UlrichDesc,Ulrich,Windrider,0x1a,0x0,IceAffinity,0xe,2,0,0,0,0,0,0,0,0,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,55,50,50,40,15,55,25,0x0,0x0,0x0,0x0,0x0,TriangleAttack,0x88aecb4,0x0,0x0,0x0,0x0
Emille,EmilleName,EmilleDesc,Emille,Harrier,0x1b,0x0,ThunderAffinity,0x15,10,0,0,0,0,0,0,0,0,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,90,45,40,30,35,25,30,0x0,0x0,0x0,0x0,0x0,TriangleAttack,0x88aed74,0x4,0x0,0x0,0x0
Maybelline,MaybellineName,MaybellineDesc,Maybelline,MercenaryF,0x1c,0x0,FireAffinity,0x16,1,0,0,0,0,0,0,0,0,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,85,5,10,70,30,75,80,0x0,0x0,0x0,0x0,0x0,0x0,0x88aed8c,0x7,0x0,0x0,0x0
Lux,LuxName,LuxDesc,Lux,LancerM,0x1e,0x0,IceAffinity,0x17,5,0,0,0,0,0,0,0,0,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,75,30,55,60,15,25,50,0x0,0x0,0x0,0x0,0x0,0x0,0x88aeda4,0xc,0x0,0x0,0x0
Bria,BriaName,BriaDesc,Bria,Bombardier,0x20,0x0,WindAffinity,0x18,2,0,0,0,0,0,0,0,0,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,50,30,25,40,30,35,40,0x0,0x0,0x0,0x0,0x0,0x0,0x88aedbc,0x6,0x0,0x0,0x0
Elliot,ElliotName,ElliotDesc,Elliot,Bard,0x21,0x0,LightAffinity,0x19,2,0,0,0,0,0,0,0,0,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,50,45,40,35,15,40,50,0x0,0x0,0x0,0x0,0x0,0x0,0x88aedd4,0x5,0x0,0x0,0x0
Kylie,KylieName,KylieDesc,Kylie,DracoriderF,0x22,0x0,LightAffinity,0x1b,3,0,0,0,0,0,0,0,0,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,45,50,45,45,15,50,65,0x0,0x0,0x0,0x0,0x0,0x0,0x88aedec,0xb,0x0,0x0,0x0
Luair,LuairName,LuairDesc,Luair,LanceCavF,0x23,0x0,ThunderAffinity,0x1c,1,0,0,0,0,0,0,0,0,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,85,50,35,40,30,25,30,0x0,0x0,0x0,0x0,0x0,0x0,0x88aee04,0x4,0x0,0x0,0x0
Axel,AxelName,AxelDesc,Axel,AxeArmor,0x24,0x0,NoAffinity,0x0,0,0,0,0,0,0,0,0,0,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,85,50,10,10,10,15,30,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
Willa,WillaName,WillaDesc,Willa,Warmaster,0x24,0x0,DarkAffinity,0x1d,1,0,0,0,0,0,0,0,0,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,65,25,45,60,25,30,25,0x0,0x0,0x0,0x0,0x0,0x0,0x88aee4c,0x0,0x0,0x0,0x0
Orion,OrionName,OrionDesc,Orion,SageOrion,0x25,0x0,AnimaAffinity,0x1e,8,0,0,0,0,0,0,0,0,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,85,55,40,30,45,30,20,0x0,0x0,0x0,0x0,0x0,0x0,0x88aee64,0x4,0x0,0x0,0x0
Astraea,AstraeaName,AstraeaDesc,Astraea,AnimaMageF,0x26,0x0,WindAffinity,0x22,1,0,0,0,0,0,0,0,0,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,130,90,85,65,150,30,30,0x0,0x0,0x0,0x0,0x0,0x0,0x88aee7c,0xc,0x0,0x0,0x0
Ansel,AnselName,AnselDesc,Ansel,TemplarM,0x29,0x0,DarkAffinity,0x20,9,0,0,0,0,0,0,0,0,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,70,50,40,35,10,45,20,0x0,0x0,0x0,0x0,0x0,0x0,0x88aee94,0x3,0x0,0x0,0x0
Evelyn,EvelynName,EvelynDesc,Evelyn,Harbinger,0x2a,0x0,WindAffinity,0x11,5,0,0,0,0,0,0,0,0,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,80,35,55,55,20,20,30,0x0,0x0,0x0,0x0,0x0,0x0,0x88aecfc,0x3,0x0,0x0,0x0
Rami,RamiName,RamiDesc,Rami,Sorcerer,0x2b,0x0,ThunderAffinity,0x23,1,0,0,0,0,0,0,0,0,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,70,40,50,60,20,50,30,0x0,0x0,0x0,0x0,0x0,0x0,0x88aeeac,0xa,0x0,0x0,0x0
Brynhild,BrynhildName,BrynhildDesc,Brynhild,Holywing,0x2c,0x0,WindAffinity,0x12,4,0,0,0,0,0,0,0,0,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,65,45,40,65,20,25,60,0x0,0x0,0x0,0x0,0x0,TriangleAttack,0x88aed44,0xa,0x0,0x0,0x0
Samil,SamilName,SamilDesc,Samil,Trickster,0x2d,0x0,IceAffinity,0x24,14,0,0,0,0,0,0,0,0,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,85,50,55,55,45,55,30,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
Kynan,KynanName,KynanDesc,Kynan,Prince,0x2e,0x0,DarkAffinity,0x28,13,0,0,0,0,0,0,0,0,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,80,55,45,40,45,30,25,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
Crocodile,CrocodileName,CrocodileDesc,Crocodile,Berserker,CrocodileMug,0x0,NoAffinity,0x27,1,0,0,0,0,0,0,0,0,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,85,45,50,45,35,40,20,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
Terrance,TerranceName,TerranceDesc,Terrance,0x2a,0x3f,0x0,NoAffinity,0x26,11,0,0,0,0,0,0,0,0,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,85,40,55,40,20,30,25,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
Chapter 2 Boss 1,0x237,0x292,Ch2Boss1,0x23,0x42,0x0,NoAffinity,0x29,13,0,0,0,0,0,0,0,0,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,80,40,55,50,20,20,15,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
Chapter 2 Boss 2,0x246,0x2a0,Ch2Boss2,0x2b,0x48,0x0,NoAffinity,0x2b,16,0,0,0,0,0,0,0,0,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,75,45,50,40,20,45,15,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
Chapter 3 Boss,0x244,0x29f,Ch3Boss,0x11,0x43,0x0,NoAffinity,0x2a,12,0,0,0,0,0,0,0,0,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,85,50,45,45,30,20,20,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
Chapter 4 Boss,0x25b,0x2b3,Ch4Boss,0xb,0x51,0x0,NoAffinity,0x2c,11,0,0,0,0,0,0,0,0,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,85,55,40,30,45,25,25,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
Chapter 5 Boss,0x260,0x2b8,Ch5Boss,0x16,0x56,0x0,NoAffinity,0x2e,9,0,0,0,0,0,0,0,0,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,75,30,60,55,20,25,30,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
Chapter 5x Boss,0x25c,0x2b4,Ch5xBoss,0x1d,0x52,0x0,NoAffinity,0x2d,10,0,0,0,0,0,0,0,0,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,70,40,45,45,25,25,40,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
Chapter 6 Boss,0x267,0x0,Ch6Boss,0x41,0x0,0x0,NoAffinity,0x0,0,0,0,0,0,0,0,0,0,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,85,50,10,10,10,15,30,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
Chapter 6x Boss,0x267,0x0,Ch6xBoss,0x41,0x0,0x0,NoAffinity,0x0,0,0,0,0,0,0,0,0,0,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,85,50,10,10,10,15,30,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
Chapter 7 Boss,0x267,0x0,Ch7Boss,0x41,0x0,0x0,NoAffinity,0x0,0,0,0,0,0,0,0,0,0,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,85,50,10,10,10,15,30,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
Chapter 8 Boss,0x267,0x0,Ch8Boss,0x41,0x0,0x0,NoAffinity,0x0,0,0,0,0,0,0,0,0,0,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,85,50,10,10,10,15,30,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
Chapter 9 Boss,0x267,0x0,Ch9Boss,0x41,0x0,0x0,NoAffinity,0x0,0,0,0,0,0,0,0,0,0,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,85,50,10,10,10,15,30,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
Curtis,0x267,0x0,Curtis,0x41,0x0,0x0,NoAffinity,0x0,0,0,0,0,0,0,0,0,0,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,85,50,10,10,10,15,30,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
Chapter 11 Boss,0x267,0x0,Ch11Boss,0x41,0x0,0x0,NoAffinity,0x0,0,0,0,0,0,0,0,0,0,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,85,50,10,10,10,15,30,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
Chapter 12 Boss,0x267,0x0,Ch12Boss,0x41,0x0,0x0,NoAffinity,0x0,0,0,0,0,0,0,0,0,0,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,85,50,10,10,10,15,30,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
Blair,BlairName,BlairDesc,Blair,0x41,0x0,0x0,NoAffinity,0x0,0,0,0,0,0,0,0,0,0,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,85,50,10,10,10,15,30,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
Chapter 14 Boss,0x267,0x0,Ch14Boss,0x41,0x0,0x0,NoAffinity,0x0,0,0,0,0,0,0,0,0,0,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,85,50,10,10,10,15,30,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
Fernyiges,FernyigesName,FernyigesDesc,Fernyiges,0x41,0x0,0x0,NoAffinity,0x0,0,0,0,0,0,0,0,0,0,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,85,50,10,10,10,15,30,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
Cassandra,CassandraName,CassandraDesc,Cassandra,0x41,0x0,0x0,NoAffinity,0x0,0,0,0,0,0,0,0,0,0,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,85,50,10,10,10,15,30,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
MrEisenburg,MrEisenburgName,0x0,MrEisenburg,0x41,0x0,0x0,NoAffinity,0x0,0,0,0,0,0,0,0,0,0,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,85,50,10,10,10,15,30,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
Savitr,SavitrName,0x0,Savitr,0x41,0x0,0x0,NoAffinity,0x0,0,0,0,0,0,0,0,0,0,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,85,50,10,10,10,15,30,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
